2022-06-23 08:51:59,219 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:00,055 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:01,299 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:01,299 |  INFO | order_book() Pruebas:413 | Precio: 0.0564, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.72, P abajo: 0.48
2022-06-23 08:52:01,307 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:02,113 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:03,334 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:03,334 |  INFO | order_book() Pruebas:413 | Precio: 0.0564, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.72, P abajo: 0.48
2022-06-23 08:52:03,347 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:04,187 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:04,632 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:04,636 |  INFO | order_book() Pruebas:413 | Precio: 0.05641, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.70, P abajo: 0.50
2022-06-23 08:52:04,641 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:05,464 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:06,703 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
